index,True_False_Ratio,hour_per_day,positive,negative,cases_per_100000,state_OR,is_claim,price_alt,is_delivery,is_pickup,updated_review_count,updated_rating,is_open_api
245,0.375,7.571428571,0.050233645,0.021028037,12351.68185,0,1,2,0,0,86,4.5,1
246,0.333333333,12.57142857,0.056358193,0.009631654,4648.728201,0,1,2,1,1,111,4.5,1
247,0.666666667,24,0.108823529,0.002941176,0,0,1,1.78,0,0,19,5,1
248,0.047619048,0,0.073375262,0.012578616,6824.775966,0,0,1.78,1,0,9,4,1
249,0,8,0.075925926,0.009876543,12351.68185,0,1,1.78,0,0,74,5,1
250,0.4,8,0.03976765,0.022341376,12351.68185,0,1,1,1,1,172,3.5,1
251,0.4,9.857142857,0.070615034,0.013667426,10415.9,1,1,2,0,0,65,4,1
252,0.3,8,0.032282004,0.009647495,7404.4,1,1,2,0,0,117,3.5,1
253,0.5,11.2,0.043397969,0.008310249,8678.216679,0,1,1.78,0,0,158,4,1
254,0.4,9.857142857,0.051056338,0.017165493,8937.6,1,1,1.78,1,1,35,3.5,1
255,1,24,0.040354331,0.00984252,9026.812652,0,1,2,0,0,92,2.5,1
256,1,8.5,0.022764228,0.022222222,10565.5,1,1,1.78,0,0,47,2,1
257,1,10.71428571,0.029021354,0.012449501,8663.8,1,1,1.78,0,0,79,3,1
258,0.6,10,0.06015596,0.01559599,5975.3,1,1,2,1,1,115,4,1
259,0.310344828,12,0.038865546,0.035714286,11819.7,1,1,2,1,0,75,3.5,1
260,0.258064516,17,0.034883721,0.03003876,11608.05047,0,1,1,1,1,29,2.5,1
261,0.409090909,8.428571429,0.039223561,0.024631861,12351.68185,0,1,1.78,1,1,568,3,1
262,0.6,9.428571429,0.058972199,0.01095198,4607.8,1,1,2,0,0,78,4.5,1
263,0.5,11,0.064876957,0.022371365,8678.216679,0,1,2,1,1,110,3.5,0
264,0.363636364,7,0.048754063,0.01787649,5110.7,1,1,2,0,0,178,4.5,1
265,0.5,13.78571429,0.052511416,0.01369863,8544.1,1,1,1,1,0,25,2,1
266,0.387096774,6,0.052216151,0.009714633,4019.4,1,1,2,1,0,343,4,0
267,0.5,9.6,0.043413174,0.00855432,12351.68185,0,1,1.78,0,0,439,4.5,1
268,0.3,12.71428571,0.062381853,0.020793951,4019.4,1,1,2,1,0,217,3.5,1
269,0.375,9.857142857,0.038406828,0.017069701,15107.12856,0,1,2,0,0,19,3.5,1
270,0.264705882,7,0.045977011,0.022988506,10328.2,1,1,1,1,0,201,4,0
271,0.736842105,0,0.078152753,0.004440497,4855.3,1,1,2,1,1,30,4.5,1
272,1,10.5,0.027688345,0.019639408,12351.68185,0,1,1.78,0,0,86,3.5,1
273,0.5,24,0.032533333,0.0208,4744.8,1,1,2,0,0,52,3.5,1
274,0.666666667,10.85714286,0.015127389,0.0257431,12605.21695,0,1,1.78,0,0,36,2,1
275,0.433333333,8.571428571,0.056914894,0.014893617,10495.02262,0,1,2,1,1,153,4,1
276,1,8.714285714,0.029328915,0.015078708,4872.6,1,1,1.78,0,0,190,3.5,1
277,0.333333333,10.71428571,0.062780269,0.013452915,10488.65209,0,1,1.78,0,0,168,3.5,1
278,0.393939394,10.5,0.039420756,0.029766693,12523.1,1,1,1,1,0,72,3.5,1
279,0,10.25,0.039700375,0.023220974,8937.6,1,1,1.78,0,0,64,4.5,1
280,0.6,10.28571429,0.035778175,0.008944544,6520.8,1,1,1,0,0,112,4,1
281,0.375,10.92857143,0.072093023,0.01627907,18303.52968,0,1,2,1,1,65,3.5,1
282,0.424242424,8.333333333,0.05560166,0.009958506,4175.3,1,1,2,1,1,73,4,0
283,0.75,9.166666667,0.031700288,0.0129683,2895.598779,0,1,1.78,0,0,12,3.5,1
284,0.125,9.666666667,0.082105263,0.005263158,6824.775966,0,1,1.78,0,0,4,5,1
285,0.75,11.14285714,0.049423394,0.011532125,5110.7,1,1,1.78,0,0,22,4.5,1
286,0.529411765,10,0.055722892,0.018072289,5065.2,1,1,1.78,1,1,56,4.5,1
287,0.3,12.8,0.051805338,0.010989011,12351.68185,0,1,2,0,0,74,4.5,1
288,0.333333333,14.64285714,0.077375353,0.01434619,5110.7,1,1,1.78,0,0,131,4.5,1
289,0,11.2,0.055403182,0.012616566,7577.563242,0,1,1.78,0,0,77,5,1
290,0.7,8,0.070776256,0.012328767,5971.1,1,1,1.78,1,1,48,4.5,1
291,0.25,9,0.089449541,0.01146789,10515.1,1,1,2,0,0,23,5,1
292,0.444444444,11.14285714,0.051233397,0.022770398,4451.261727,0,1,1.78,0,0,51,4.5,1
293,0.516129032,14,0.048161574,0.021750388,11592.62054,0,1,2,1,1,99,3.5,1
294,0.333333333,15,0.047061012,0.015066964,6520.8,1,1,1,1,0,510,4,0
